Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,AgeGroup,IncomeGroup,TenureGroup,OverTimeRisk,PromotionStatus,CareerStage,IncomePerWorkingYear,RoleTenureRatio
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,1,36-45,Lower-Mid,6-10 years,High Risk,Recent promotion <5 years,Experienced,665.8888888888889,0.5714285714285714
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,0,46-55,Lower-Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,466.3636363636364,0.6363636363636364
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,1,36-45,Low,0-1 years,High Risk,Recent promotion <5 years,Experienced,261.25,0.0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,0,26-35,Low,6-10 years,High Risk,Recent promotion <5 years,Experienced,323.22222222222223,0.7777777777777778
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,0,26-35,Lower-Mid,2-3 years,Lower Risk,Recent promotion <5 years,Experienced,495.42857142857144,0.6666666666666666
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,0,26-35,Lower-Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,340.8888888888889,0.875
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0,>55,Low,0-1 years,High Risk,Recent promotion <5 years,Experienced,205.3846153846154,0.0
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,0,26-35,Low,0-1 years,Lower Risk,Recent promotion <5 years,Early Career,1346.5,0.0
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0,36-45,Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,866.0,0.7
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,0,36-45,Lower-Mid,6-10 years,Lower Risk,No promotion >=5 years,Experienced,290.94444444444446,0.875
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0,26-35,Low,4-5 years,Lower Risk,Recent promotion <5 years,Experienced,346.57142857142856,0.6666666666666666
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0,26-35,Lower-Mid,6-10 years,High Risk,Recent promotion <5 years,Experienced,381.1818181818182,0.5
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,0,26-35,Low,4-5 years,Lower Risk,Recent promotion <5 years,Early Career,485.1666666666667,0.3333333333333333
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,0,26-35,Low,2-3 years,Lower Risk,Recent promotion <5 years,Early Career,665.25,0.6666666666666666
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,1,26-35,Low,4-5 years,High Risk,Recent promotion <5 years,Experienced,289.7142857142857,0.4
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,0,26-35,Mid,6-10 years,Lower Risk,No promotion >=5 years,Experienced,907.2727272727273,0.8181818181818182
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0,26-35,Lower-Mid,6-10 years,High Risk,Recent promotion <5 years,Experienced,412.25,0.2857142857142857
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0,<=25,Low,0-1 years,High Risk,Recent promotion <5 years,Early Career,1467.5,0.0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,0,46-55,High,>10 years,Lower Risk,Recent promotion <5 years,Experienced,482.09375,0.3076923076923077
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0,36-45,Lower-Mid,2-3 years,High Risk,Recent promotion <5 years,Experienced,563.4285714285714,0.5
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0,<=25,Lower-Mid,4-5 years,Lower Risk,Recent promotion <5 years,Early Career,668.5,0.4
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,1,36-45,Lower-Mid,4-5 years,Lower Risk,Recent promotion <5 years,Experienced,309.72727272727275,0.5
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,0,26-35,Upper-Mid,>10 years,Lower Risk,Recent promotion <5 years,Experienced,856.7142857142857,0.46153846153846156
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0,<=25,Low,0-1 years,Lower Risk,Recent promotion <5 years,Early Career,1232.0,0.0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,1,26-35,Low,4-5 years,Lower Risk,Recent promotion <5 years,Experienced,328.8888888888889,0.4
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0,46-55,High,>10 years,Lower Risk,Recent promotion <5 years,Experienced,707.1851851851852,0.8666666666666667
